WE Potential	col1	col2	col3	col4	col5	col6	col7	col8	col9	col10	Index
-0.173492431640625	-5.293060302734375e-05	-0.00035181365966796877	-0.0004746469116210937	-0.0005651925659179688	-0.0006265328979492187	-0.0006695626831054688	-0.0007083200073242188	-0.0007409738159179686	-0.0007763742065429686	-0.0008078073120117188	64
-0.175933837890625	-5.247283935546875e-05	-0.00035286651611328126	-0.00047637115478515617	-0.0005679238891601561	-0.0006298745727539063	-0.0006729043579101561	-0.0007122720336914062	-0.000746451721191406	-0.000781852111816406	-0.0008148110961914062	65
-0.178375244140625	-5.2011718750000015e-05	-0.0003538601684570312	-0.00047800567626953114	-0.0005706570434570313	-0.0006329129028320312	-0.0006771633911132814	-0.0007165310668945313	-0.0007510159301757813	-0.0007867214965820311	-0.0008212063598632812	66
-0.180816650390625	-5.15802001953125e-05	-0.0003548828125	-0.0004797607421875	-0.0005730834960937501	-0.0006371704101562501	-0.000680810546875	-0.0007207885742187501	-0.0007552734375	-0.0007928100585937502	-0.0008288208007812499	67
-0.183258056640625	-5.1204833984375e-05	-0.00035587646484375	-0.000481669921875	-0.000575206298828125	-0.0006408190917968752	-0.000683543701171875	-0.000724437255859375	-0.000759837646484375	-0.000798289794921875	-0.000833385009765625	68
-0.185699462890625	-5.077514648437501e-05	-0.00035687225341796873	-0.00048355072021484384	-0.0005782467651367189	-0.0006429440307617188	-0.0006868893432617187	-0.0007274777221679689	-0.0007650143432617188	-0.0008022457885742188	-0.0008379513549804686	69
-0.188140869140625	-5.043060302734375e-05	-0.0003578390502929687	-0.00048494476318359364	-0.0005803732299804687	-0.0006453756713867187	-0.0006905416870117187	-0.0007314352416992186	-0.0007692770385742183	-0.0008080343627929686	-0.0008431295776367187	70
-0.190582275390625	-5.008514404296876e-05	-0.0003587673950195313	-0.00048651397705078126	-0.0005824917602539061	-0.0006481045532226561	-0.0006941860961914064	-0.0007347744750976563	-0.0007732266235351561	-0.0008122891235351562	-0.0008467739868164065	71
-0.193023681640625	-4.973236083984375e-05	-0.0003596627807617188	-0.00048808074951171886	-0.0005843026733398436	-0.0006514413452148437	-0.0006969125366210938	-0.0007405526733398436	-0.0007786996459960935	-0.0008168466186523436	-0.0008522470092773436	72
-0.195465087890625	-4.941864013671875e-05	-0.0003605978393554688	-0.0004894125366210937	-0.0005864279174804687	-0.0006541769409179689	-0.0006999533081054688	-0.0007423727416992186	-0.0007802145385742187	-0.0008208029174804687	-0.0008577291870117187	73
-0.197906494140625	-4.9112548828125e-05	-0.0003614651489257813	-0.0004906460571289062	-0.0005885464477539061	-0.0006569058227539062	-0.0007029873657226561	-0.0007457119750976563	-0.0007844692993164061	-0.0008235317993164062	-0.0008632046508789062	74
-0.200347900390625	-4.881622314453125e-05	-0.00036233642578125	-0.0004922802734375	-0.0005909741210937498	-0.00065994384765625	-0.00070572021484375	-0.0007487499999999998	-0.0007862866210937499	-0.0008271801757812499	-0.0008656323242187499	75
-0.202789306640625	-4.8564453125e-05	-0.0003631884765625	-0.000494383544921875	-0.0005928027343750001	-0.0006617724609375001	-0.0007087695312500001	-0.0007521044921875	-0.000790556640625	-0.0008311450195312499	-0.0008677661132812499	76
-0.205230712890625	-4.828643798828125e-05	-0.0003639306640624999	-0.0004951562499999999	-0.000594613037109375	-0.000663582763671875	-0.000711190185546875	-0.0007557458496093749	-0.0007923669433593749	-0.0008350915527343749	-0.0008726281738281248	77
-0.207672119140625	-4.8019714355468735e-05	-0.00036465087890625	-0.0004960595703125	-0.0005961267089843749	-0.0006650964355468749	-0.0007120935058593751	-0.000758175048828125	-0.0007957116699218749	-0.000837520751953125	-0.0008768884277343749	78
-0.210113525390625	-4.777618408203124e-05	-0.000365313720703125	-0.0004973327636718749	-0.00059794921875	-0.0006678344726562499	-0.00071422119140625	-0.0007596923828124998	-0.00079906005859375	-0.0008417846679687501	-0.00088084716796875	79
