
Index;Column 2 (V);Column 3 (V);Column 4 (V);Column 5 (V);Column 6 (V/s);Column 7 (V);Time (s);Potential applied (V);WE(1).Current (A);WE(1).Potential (V);Scan;Column 13 (RPM);ω (rad/s)
84;;;;;;;10719.455418936;-0.21728515625;-5.3375244140625E-05;-0.2166748046875;3;;
85;;;;;;;10719.6995599354;-0.2197265625;-5.6854248046875E-05;-0.2191162109375;3;;
86;;;;;;;10719.9437009347;-0.22216796875;-6.0516357421875E-05;-0.2215576171875;3;;
87;;;;;;;10720.1878419341;-0.224609375;-6.4422607421875E-05;-0.22393798828125;3;;
88;;;;;;;10720.4319829335;-0.22705078125;-6.854248046875E-05;-0.226409912109375;3;;
89;;;;;;;10720.6761239329;-0.2294921875;-7.28759765625E-05;-0.2288818359375;3;;
90;;;;;;;10720.9202649323;-0.23193359375;-7.7392578125E-05;-0.2313232421875;3;;
91;;;;;;;10721.1644059317;-0.234375;-8.2183837890625E-05;-0.2337646484375;3;;
92;;;;;;;10721.408546931;-0.23681640625;-8.734130859375E-05;-0.23614501953125;3;;
93;;;;;;;10721.6526879304;-0.2392578125;-9.2803955078125E-05;-0.23858642578125;3;;
94;;;;;;;10721.8968289298;-0.24169921875;-9.869384765625E-05;-0.24102783203125;3;;
95;;;;;;;10722.1409699292;-0.244140625;-0.00010504150390625;-0.243408203125;3;;
96;;;;;;;10722.3851109286;-0.24658203125;-0.000111724853515625;-0.24591064453125;3;;
97;;;;;;;10722.629251928;-0.2490234375;-0.00011865234375;-0.24835205078125;3;;
98;;;;;;;10722.8733929273;-0.25146484375;-0.00012591552734375;-0.250732421875;3;;
99;;;;;;;10723.1175339267;-0.25390625;-0.000133514404296875;-0.253204345703125;3;;
100;;;;;;;10723.3616749261;-0.25634765625;-0.00014154052734375;-0.255615234375;3;;
101;;;;;;;10723.6058159255;-0.2587890625;-0.000150054931640625;-0.258026123046875;3;;
102;;;;;;;10723.8499569249;-0.26123046875;-0.0001591796875;-0.260467529296875;3;;
103;;;;;;;10724.0940979243;-0.263671875;-0.00016888427734375;-0.262908935546875;3;;
104;;;;;;;10724.3382389236;-0.26611328125;-0.0001790771484375;-0.2652587890625;3;;
105;;;;;;;10724.582379923;-0.2685546875;-0.000189727783203125;-0.267669677734375;3;;
106;;;;;;;10724.8265209224;-0.27099609375;-0.000200775146484375;-0.270172119140625;3;;
107;;;;;;;10725.0706619218;-0.2734375;-0.000212158203125;-0.272552490234375;3;;
108;;;;;;;10725.3148029212;-0.27587890625;-0.00022381591796875;-0.27496337890625;3;;
109;;;;;;;10725.5589439206;-0.2783203125;-0.000236114501953125;-0.27734375;3;;
110;;;;;;;10725.8030849199;-0.28076171875;-0.000249053955078125;-0.279815673828125;3;;
111;;;;;;;10726.0472259193;-0.283203125;-0.0002626953125;-0.282257080078125;3;;
112;;;;;;;10726.2913669187;-0.28564453125;-0.0002769775390625;-0.28460693359375;3;;
113;;;;;;;10726.5355079181;-0.2880859375;-0.000291717529296875;-0.2869873046875;3;;
114;;;;;;;10726.7796489175;-0.29052734375;-0.00030682373046875;-0.2894287109375;3;;
115;;;;;;;10727.0237899169;-0.29296875;-0.000322265625;-0.29229736328125;3;;
116;;;;;;;10727.2679309163;-0.29541015625;-0.00033782958984375;-0.294708251953125;3;;
117;;;;;;;10727.5120719156;-0.2978515625;-0.000353790283203125;-0.297149658203125;3;;
118;;;;;;;10727.756212915;-0.30029296875;-0.00037017822265625;-0.299560546875;3;;
119;;;;;;;10728.0003539144;-0.302734375;-0.00038720703125;-0.302001953125;3;;
120;;;;;;;10728.2444949138;-0.30517578125;-0.000404815673828125;-0.304443359375;3;;
121;;;;;;;10728.4886359132;-0.3076171875;-0.00042279052734375;-0.306884765625;3;;
122;;;;;;;10728.7327769126;-0.31005859375;-0.000441070556640625;-0.309295654296875;3;;
123;;;;;;;10728.9769179119;-0.3125;-0.0004593505859375;-0.311767578125;3;;
124;;;;;;;10729.2210589113;-0.31494140625;-0.0004776611328125;-0.314178466796875;3;;
125;;;;;;;10729.4651999107;-0.3173828125;-0.000495697021484375;-0.316680908203125;3;;
126;;;;;;;10729.7093409101;-0.31982421875;-0.00051361083984375;-0.319122314453125;3;;
127;;;;;;;10729.9534819095;-0.322265625;-0.00053192138671875;-0.321533203125;3;;
128;;;;;;;10730.1976229089;-0.32470703125;-0.00055084228515625;-0.323944091796875;3;;
129;;;;;;;10730.4417639082;-0.3271484375;-0.00056976318359375;-0.326416015625;3;;
130;;;;;;;10730.6859049076;-0.32958984375;-0.0005889892578125;-0.328826904296875;3;;
131;;;;;;;10730.930045907;-0.33203125;-0.00060791015625;-0.33123779296875;3;;
132;;;;;;;10731.1741869064;-0.33447265625;-0.000626220703125;-0.33367919921875;3;;
133;;;;;;;10731.4183279058;-0.3369140625;-0.0006439208984375;-0.336029052734375;3;;
134;;;;;;;10731.6624689052;-0.33935546875;-0.00066131591796875;-0.33856201171875;3;;
135;;;;;;;10731.9066099045;-0.341796875;-0.00067840576171875;-0.34100341796875;3;;
136;;;;;;;10732.1507509039;-0.34423828125;-0.00069549560546875;-0.34344482421875;3;;
137;;;;;;;10732.3948919033;-0.3466796875;-0.00071258544921875;-0.345916748046875;3;;
138;;;;;;;10732.6390329027;-0.34912109375;-0.00072967529296875;-0.34832763671875;3;;
139;;;;;;;10732.8831739021;-0.3515625;-0.0007464599609375;-0.350738525390625;3;;
140;;;;;;;10733.1273149015;-0.35400390625;-0.00076202392578125;-0.353179931640625;3;;
141;;;;;;;10733.3714559008;-0.3564453125;-0.00077667236328125;-0.355560302734375;3;;
142;;;;;;;10733.6155969002;-0.35888671875;-0.000791015625;-0.3580322265625;3;;
143;;;;;;;10733.8597378996;-0.361328125;-0.00080413818359375;-0.360443115234375;3;;
144;;;;;;;10734.103878899;-0.36376953125;-0.00081695556640625;-0.362884521484375;3;;
145;;;;;;;10734.3480198984;-0.3662109375;-0.0008294677734375;-0.36529541015625;3;;
146;;;;;;;10734.5921608978;-0.36865234375;-0.0008416748046875;-0.3677978515625;3;;
147;;;;;;;10734.8363018971;-0.37109375;-0.000853271484375;-0.37017822265625;3;;
148;;;;;;;10735.0804428965;-0.37353515625;-0.00086395263671875;-0.372711181640625;3;;
149;;;;;;;10735.3245838959;-0.3759765625;-0.0008740234375;-0.37506103515625;3;;
150;;;;;;;10735.5687248953;-0.37841796875;-0.0008831787109375;-0.37750244140625;3;;
151;;;;;;;10735.8128658947;-0.380859375;-0.00089141845703125;-0.37994384765625;3;;
152;;;;;;;10736.0570068941;-0.38330078125;-0.0008984375;-0.382354736328125;3;;
153;;;;;;;10736.3011478934;-0.3857421875;-0.00090545654296875;-0.38482666015625;3;;
154;;;;;;;10736.5452888928;-0.38818359375;-0.00091217041015625;-0.387298583984375;3;;
155;;;;;;;10736.7894298922;-0.390625;-0.00091888427734375;-0.389739990234375;3;;
156;;;;;;;10737.0335708916;-0.39306640625;-0.00092529296875;-0.392120361328125;3;;
157;;;;;;;10737.277711891;-0.3955078125;-0.00093109130859375;-0.394561767578125;3;;
158;;;;;;;10737.5218528904;-0.39794921875;-0.00093597412109375;-0.3970947265625;3;;
159;;;;;;;10737.7659938897;-0.400390625;-0.0009405517578125;-0.3994140625;3;;
160;;;;;;;10738.0101348891;-0.40283203125;-0.00094451904296875;-0.40191650390625;3;;
161;;;;;;;10738.2542758885;-0.4052734375;-0.00094818115234375;-0.404266357421875;3;;
162;;;;;;;10738.4984168879;-0.40771484375;-0.0009521484375;-0.40673828125;3;;
163;;;;;;;10738.7425578873;-0.41015625;-0.000955810546875;-0.409210205078125;3;;
164;;;;;;;10738.9866988867;-0.41259765625;-0.0009600830078125;-0.41162109375;3;;
165;;;;;;;10739.230839886;-0.4150390625;-0.00096435546875;-0.414031982421875;3;;
166;;;;;;;10739.4749808854;-0.41748046875;-0.000968017578125;-0.416534423828125;3;;
167;;;;;;;10739.7191218848;-0.419921875;-0.00097198486328125;-0.418975830078125;3;;
168;;;;;;;10739.9632628842;-0.42236328125;-0.00097564697265625;-0.421417236328125;3;;
169;;;;;;;10740.2074038836;-0.4248046875;-0.0009783935546875;-0.423828125;3;;
170;;;;;;;10740.451544883;-0.42724609375;-0.00098114013671875;-0.42626953125;3;;
171;;;;;;;10740.6956858824;-0.4296875;-0.00098388671875;-0.428741455078125;3;;
172;;;;;;;10740.9398268817;-0.43212890625;-0.0009869384765625;-0.43109130859375;3;;
173;;;;;;;10741.1839678811;-0.4345703125;-0.00099029541015625;-0.433563232421875;3;;
174;;;;;;;10741.4281088805;-0.43701171875;-0.00099395751953125;-0.436004638671875;3;;
175;;;;;;;10741.6722498799;-0.439453125;-0.00099761962890625;-0.4384765625;3;;
